#Gene	log2(fold-change)array	q-value_array	log2(fold-change)RNA_seq	q-value_RNA_seq
CDC25B	0.258696677729292	0.00575406991886939	0.197677	0.916479
BMP3	0.229840118862797	0.266581962836282	inf	0.418608
TMEM180	-0.247890697844209	0.0284111889909615	0.075505	0.966684
SLK	0.484734328481264	0.100299101271945	0.809043	0.526526
SLCO2B1	0.223070276500865	0.195653713507108	0.923502	0.526526
USP6NL	-0.373729719841921	0.0883382025938547	-0.578998	0.747799
BAZ1B	0.425294696918814	0.0231951025072266	0.950775	0.441336
ABCD4	-0.06951116656986	0.262446940341623	1.37096	0.27831
BBS12	0.3438233466117	0.0794903355171739	0.923502	0.879405
LRGUK	0.120028536899353	0.233615482222609	-inf	0.418608
TEK	0.14702034580175	0.251590509694297	inf	0.282
SLC25A46	-0.0516369473820109	0.298487762857342	0.166771	0.931614
LARP7	-0.330199365023879	0.184905926719857	-0.176034	0.925431
TERF2IP	0.00347005215590362	0.40774823695134	0.0839674	0.965012
CD160	0.271755425992854	0.154299124440112	-inf	0.430894
PHF20	-0.45389388995895	0.0244635169205276	-0.162228	0.924941
CPNE4	0.297394289674704	0.0749670366356051	-2.07649	0.418608
COL1A1	0.137951457146328	0.0118488773957947	0.408194	0.782471
GTPBP1	-0.329754448534544	0.0104534690660386	-0.728573	0.81425
GRK5	0.000527500611565737	0.389775770109852	0.408929	0.862839
AP1S2	-0.366885646558853	0.0993614192230856	0.647867	0.729042
RAB33B	0.114010326253818	0.105625878404379	-inf	0.526915
CA11	0.259467069879378	0.280541317353409	-1.66146	0.792418
ALDOC	-0.241864671323919	0.167595595072232	-0.591054	0.873873
OR4A15	0.039929553552147	0.344920557598025	-inf	0.418608
ZNF212	0.171704384098156	0.229295679654652	-0.583458	0.773958
NUDT1	0.437656252382515	0.0757054593070655	1.0015	0.526526
ACBD3	-0.621283786704876	0.0154845915506293	-0.679163	0.601967
ZNF83	0.222492805427489	0.220621822815363	inf	0.009135
PRDM2	-0.20502685396275	0.0145910968432005	-0.858907	0.526526
SEL1L3	-0.268510846051549	0.103003222051379	0.929402	0.480078
GDPD5	-0.0228917265160964	0.372971022514053	inf	0.00505161
PDCD4	-0.642418118131092	0.00864300192339781	-0.191985	0.942566
CEP350	0.0797545958449547	0.348213314416845	0.20361	0.906093
FOXP3	0.317294726450022	0.212823419107518	-inf	0.418608
SMYD3	-0.221922638993039	0.0540702386842434	1.21301	0.418608
CST7	0.175617098054471	0.303073633391677	inf	0.418608
CIAO1	-0.834132889779621	0.00413510894628589	-0.359432	0.846395
SELL	0.235603458637329	0.213838489133751	inf	0.418608
LGI2	0.269162440194438	0.146563184756053	-0.491536	0.907165
ANKRD6	0.236793488064076	0.211633445830933	-2.0765	0.418608
LTBP4	0.421793206787036	0.0808284084908409	1.24543	0.351346
SHROOM1	0.211095174300016	0.189398464878788	-0.906573	0.57382
CIDECP	0.164795178083732	0.253880996859089	1.73086	0.526526
SIRT6	-0.0322685090579224	0.365386061568218	-1.49154	0.418608
PPIL1	0.801086213811423	0.023005847869299	0.816587	0.846617
VWA5A	-0.381964492689808	0.00868197681359113	0.711998	0.729042
STK17A	-0.487663402617303	0.119595896496045	0.0286506	0.977492
FOXE1	0.187415004798287	0.24739437456051	inf	0.418608
SIAH3	0.368299879638877	0.264506156906797	-0.0764981	0.925431
C2CD3	0.20080591795458	0.0712152421784481	0.134996	0.955528
CNPY4	0.201440038857398	0.128901339227752	2.19652	0.570049
CD38	0.35326378962262	0.121447113623734	0.923502	0.7772
CNGA3	0.299978081625865	0.178680892342869	0.213008	0.930009
ZDHHC6	0.19884537793733	0.207500435383627	-0.76239	0.628362
CTDSP2	-2.1730690904703	0.000794296395542529	-1.8594	0.228208
PGBD5	0.137107709411027	0.236812141638925	-1.88385	0.526526
CCNY	1.18158943821206	0.00410441984699507	2.31582	0.137332
DUSP4	-1.33991979890986	0.00124322319800332	-0.291511	0.876643
RMND5B	0.723067694987559	0.00459704785836187	1.18653	0.526526
C11orf88	0.157940958732081	0.256181114094219	inf	0.375759
ROR2	0.246269053166073	0.298872259208577	inf	0.239889
FOXM1	0.636731312217144	0.00239454162846389	0.760016	0.808919
ZBTB48	0.112730726889524	0.227682555743852	0.923502	0.526526
BUD31	-0.0120414992517457	0.388985352133314	-0.439077	0.920693
MAOA	-0.195113685719197	0.151097292698691	0.145894	0.957944
FAM174A	-0.0842220618153568	0.29818033980431	0.0610054	0.966881
FBXO11	0.041542821929498	0.412634280577301	0.101839	0.968523
GYPC	-0.138219480034521	0.228146269886398	-inf	0.418608
RFXAP	0.119355393944661	0.013867002472251	-1.66146	0.428803
CDK8	1.87622152809247	0.0208696027196639	3.9235	0.38223
F8A1	-0.159682056448518	0.0906405701639064	-0.0764787	0.835305
HDAC7	0.0674123401394377	0.247391132456978	-0.743927	0.526526
ALG2	-0.502110615094386	0.0300741608446493	0.172529	0.928145
PPP1R3D	-0.108673446097031	0.266744260476298	0.730857	0.788194
GRB2	-0.0206319040253016	0.372868651881611	0.369302	0.821712
TPM3	0.238832553827885	0.213362762065697	-0.34251	0.819405
EIF1	-0.120074405806262	0.184057949303187	0.102742	0.945104
CETN3	-0.125947609648185	0.264341685636038	-1.73946	0.418608
CDK1	1.19686139627565	0.0498371569744626	1.9235	0.144826
NTHL1	0.104511289197244	0.231696597279183	-0.0764967	0.961882
POLR2B	-0.295542127033761	0.204931294752234	0.457184	0.796524
GPN2	-0.110133571934509	0.103895386560092	0.792257	0.633999
TRAPPC9	-0.232218486701625	0.0178757751156732	-0.950967	0.591492
P2RX3	0.126672136359339	0.276364440468215	inf	0.355513
GCC2	-0.671376522972867	0.0364090462188561	-0.883853	0.50763
RARRES3	-0.269920727084167	0.112643644475424	inf	0.377393
WBP4	-0.0394181297091065	0.363331963654119	-0.324429	0.916682
PLXNA1	0.698144587366783	0.00160640191155112	0.13877	0.939752
KIAA0100	0.240193540791443	0.094660904381112	0.464877	0.824072
CRELD2	0.114137815525519	0.268704452464927	-0.63592	0.712413
CD82	0.736697675374416	0.0019541155896319	0.521888	0.679291
PMM1	0.487861649785476	0.00556623028305522	0.264539	0.879405
CBLL1	0.32219426357444	0.200798239563555	0.0547464	0.975157
IL1F10	0.291799803551813	0.193060157976037	-inf	0.355513
VAX2	0.172888046281922	0.299848099704406	inf	0.418608
SETDB1	-0.0396198289942872	0.326247586122954	0.496652	0.882862
NFE4	0.422345200037815	0.00770555354430048	2.03898	0.673113
GCLM	-0.365887150700192	0.131253835052754	0.960977	0.543368
PPM1A	0.363587755574585	0.130169388844473	0.869052	0.544639
CPEB3	0.526317537827226	0.0158684821111222	-1.0765	0.708816
INTS1	0.0873516738165619	0.252092595634909	-0.0037418	0.994244
MMP16	0.880556097108776	0.0143292391034673	0.74793	0.622306
CAMTA1	0.194044333204109	0.278753520081961	-0.561925	0.771797
ORC1	0.825877727794168	0.0088400270539491	-0.0764981	0.96699
GMPPA	-0.29740777864781	0.0128302874225367	-0.607013	0.725593
C11orf73	-0.0747045389805882	0.305592195592117	-0.686552	0.670298
PTP4A2	-0.0723837339716018	0.267451959789221	-0.135999	0.936019
IL24	0.163584126200893	0.198888010830522	-0.75457	0.71537
HPCA	0.319628080027736	0.204065834186296	inf	0.418608
SEC14L1	0.670633275897726	0.00866303538453485	1.0256	0.418608
MLF1	-0.548965731623525	0.0962350978536907	-0.661461	0.581103
ID1	-0.795706196363009	0.00229521909036332	-1.40714	0.330039
NDUFS4	-0.335706901900482	0.112745322640913	-0.242508	0.905546
THADA	-0.273902624973041	0.0736437073157922	-0.661461	0.704656
TAF12	-0.271103855351496	0.0574861813413173	-0.969583	0.624412
PIK3CB	-0.470614887228032	0.146868035216161	0.0260721	0.979994
TBC1D17	-0.299645399764678	0.0326369241091469	-0.585516	0.881903
CDCA4	1.14516501315906	0.00177073222745337	1.7715	0.455133
C2orf44	0.0476600495103242	0.294064665359185	-0.535922	0.896791
C9orf16	0.124190213222556	0.261896256141016	-0.491536	0.847775
ERBB2IP	-0.471028246349915	0.183971019208225	-0.0764981	0.958666
FUS	0.268319621122427	0.0752374049955126	0.505927	0.711413
IMMP1L	0.167601256304913	0.22217264424677	-0.610835	0.695594
EMX2	0.26798859114179	0.156053809556112	-inf	0.418608
NIPSNAP3B	0.0334083675123185	0.348243820429054	-inf	0.219405
TF	0.075228490374269	0.268668061638995	1.50846	0.526526
CXorf56	-0.167560914268298	0.188840074405488	-0.0764981	0.96615
CLCN4	0.618555436246619	0.00221031436394713	3.05278	0.273891
PWP2	-0.132896482020909	0.161229423140462	inf	0.232146
MMP15	0.103310014017366	0.34975991541317	-2.88385	0.583272
C11orf72	0.0100790752208671	0.420108662910947	inf	0.330039
ELAC2	0.0309102797055612	0.318022774245828	0.262188	0.870954
DNAH11	0.144415761734843	0.17790640825923	0.601512	0.876643
MTMR14	-0.502316310962778	0.00654941772789859	0.0253815	0.984503
TMEM59	-0.327316394933278	0.099198516896245	0.0934269	0.953589
SEC23IP	-0.373744562442798	0.0962202280327244	-0.188973	0.919256
POLR2J	0.146011331247449	0.231408126591046	1.81659	0.526526
RGS4	0.0615156018069909	0.33946066307795	-0.352133	0.868115
UQCRC1	-0.220604930785965	0.014170429369185	-0.0252728	0.980659
SNX6	-0.808606664203091	0.0626108745511999	-1.1238	0.418608
DDX18	-0.15419170129496	0.286644080886298	-0.148648	0.929637
POLG	-0.0673697968999428	0.239438884348821	-0.405801	0.876643
ADAM23	0.345947447643967	0.015172231381637	1.12514	0.526526
ZNHIT2	0.139542984602813	0.301818885121795	-1.0765	0.818597
RICTOR	-0.29655930653741	0.190129719328896	-0.0764789	0.973648
NCDN	-0.253143771328122	0.0140345011539044	0.0109647	0.99063
RAG1	0.0626915617624431	0.338143746630148	-inf	0.526526
TMEM104	-0.440526279534899	0.0106197798516218	-0.432642	0.836981
PTPN5	0.2680052361883	0.223875889604777	-inf	0.418608
POMT1	-0.12222711432141	0.104063784373321	-1.14689	0.543529
IDO2	0.19911220404657	0.219413211643481	inf	0.245262
LRRC8A	1.14881211019288	0.00464436358956539	2.20644	0.145616
GNA11	0.268862863700499	0.0149604280963692	-0.045471	0.97173
CAPN1	-0.702974842776023	0.00139017996754274	-0.728574	0.526526
DDHD2	-0.894215673207075	0.0397123291484512	-0.0764859	0.964178
AKR1B15	-0.999407870830911	0.0445640409931158	-3.13539	0.377629
GRIK2	-0.176923844862379	0.144173023709664	-2.66146	0.355513
UPF3A	0.203054689543158	0.0916233286548579	-0.377668	0.837871
IGSF11	0.345489599364195	0.199908597055057	inf	0.0816705
LAGE3	0.0283974816710072	0.375082175514023	0.575578	0.891371
CHST6	0.193827819553337	0.266988977665843	-0.491536	0.886429
UNC13B	-0.264447329861718	0.0462546861460995	-0.0399723	0.973999
TTLL4	0.193168284506331	0.0989608468600911	-0.591071	0.702733
PPBP	0.115318544664373	0.326965225185278	0.923502	0.876643
ZNF687	-0.339771581221973	0.0353448120146923	-0.143618	0.96306
SDC2	-0.378566710879601	0.0363502601428402	-1.17603	0.418608
ANKRD49	-0.28307212932122	0.102040065509153	1.92348	0.400076
BTF3	-0.231239113191088	0.0131014934900615	-0.728575	0.557599
COX7A2	-0.483738906439443	0.178021200159499	-0.0233868	0.981071
SARS	-0.684633841182317	0.0204585175379143	-0.250265	0.889491
CACNB1	0.087494817900519	0.288234786863604	-0.0764981	0.961519
KDM6A	0.0958945046571396	0.349194593920038	-0.424421	0.827604
QKI	-1.26915670701415	0.00801986294059416	-1.25484	0.418608
SETMAR	-0.0712851370109673	0.228279357181424	0.408929	0.941843
LAMB4	0.287992866813045	0.165000448800512	-inf	0.274209
EML3	0.175580800902703	0.0589332962109473	0.737089	0.603294
OFD1	-0.312062815128472	0.0526852473339037	-0.768376	0.668776
PDP1	-0.140069755756345	0.12185753442754	-0.607015	0.676365
AHCYL2	0.0853516900194485	0.0801657364657199	-0.269143	0.890743
KDM4B	-0.0305207443164141	0.356186883652457	0.00965851	0.989935
LRRC10	0.502402973755139	0.179390713149166	-inf	0.418608
PEX16	-0.00946688482674354	0.39388850541665	1.28607	0.418608
GNG12	-0.176922175253276	0.23216216944521	0.611971	0.811618
HABP4	-0.0488541479402019	0.0499578105036499	-0.481755	0.876643
CNTN2	0.295955342105601	0.195769964234605	inf	0.145616
ASNSD1	-0.0266191026250295	0.380693506191389	0.39994	0.848911
DBH	0.0443013341719892	0.412639118797847	inf	0.418608
CD53	0.483433398554735	0.0670900474733035	inf	0.376367
TFAP2B	0.227007589024469	0.213032262928445	inf	0.418608
RP9	-0.232833537767241	0.209977597422827	0.39994	0.862916
TMEM11	-0.0130188603391244	0.389064041687896	0.508464	0.795761
CDH8	0.113009810491356	0.298904580808019	inf	0.0584041
AGPS	-0.121307385625165	0.297005877324496	0.806687	0.668417
PCCB	-0.243066247294288	0.0349971434780329	-0.120892	0.953589
IPO13	0.592389068786282	0.0048983187751165	0.651829	0.632247
UNG	-0.484539299860314	0.00384436792537095	-1.61707	0.364172
GSTP1	-0.144565176312241	0.0476610009934749	0.313448	0.864091
COMMD5	0.0845047838088652	0.264506156906797	1.20361	0.622068
DCUN1D5	-0.288613110148829	0.119676223870655	-1.49154	0.3977
SUV420H1	0.296678979131371	0.198888010830522	0.923502	0.526526
LTBR	-0.0934913647928795	0.177769929604558	-0.169608	0.927823
TDRKH	0.127993538907888	0.164376432500028	0.730852	0.7595
IGDCC3	0.221729308075185	0.248909470990984	inf	0.143957
SLC9A3R1	-1.1600248364452	0.000936430511875621	-1.5201	0.404033
GNB4	0.654344613656973	0.0299595259401603	1.99389	0.471071
OSBP	-0.0728710593642031	0.0215273157323231	-0.370945	0.849244
SPATA4	0.689847293527929	0.0123339441557508	inf	0.318866
NBPF3	0.0732666038397867	0.361377611368785	2.24543	0.341906
DOCK11	-1.707641417816	0.00532206878690372	-0.189392	0.914914
SLC39A5	0.228722230192055	0.240105645401241	-inf	0.0681254
RPRD1B	0.0227270187531511	0.379249279107471	0.0508812	0.971264
CHMP7	-0.0373419333160028	0.216360014574781	-0.266829	0.876643
SMTNL2	0.192910259116943	0.289815814624159	inf	0.359755
FKBP4	0.158597595538916	0.280010133224731	0.264547	0.899885
ADRA1A	0.155190549188912	0.256523625005926	0.923502	0.750594
ASAH1	-0.707869148056186	0.0277310861007791	0.467818	0.774877
ZNF350	0.04829865813317	0.364995730197737	0.923502	0.713595
GIPR	0.289165159198522	0.192609955085255	-0.661461	0.862976
AHI1	0.349558607587907	0.223723219950118	0.792257	0.564299
GORAB	-0.641790532589004	0.0341016666216998	-1.19198	0.593742
NADSYN1	-0.379809948926605	0.00912541480551064	0.0244308	0.97972
RGS14	0.0720816903816971	0.317143119403845	1.50846	0.510626
KRT15	0.145572290332852	0.198176340145174	0.923502	0.733452
IL18BP	0.141690935702231	0.0791497279768419	-1.07649	0.665035
FAM175A	-0.376913131911889	0.0970145143356146	0.186536	0.936597
FHL1	0.0457933264580548	0.277809864662501	1.24543	0.347204
GATA1	0.243766683605883	0.231133668993821	-inf	0.418608
OSGEP	0.244901524597374	0.0710270241880772	-0.146887	0.943122
SMC6	-0.178251060648991	0.252607907249995	-0.421634	0.860884
TTTY14	0.0465768413329229	0.35849747709229	-inf	0.115609
ARMC6	-0.097047748949534	0.109175520916091	-0.324426	0.904857
PSMD5	-0.139868687291933	0.252347533481161	0.522967	0.791567
RSU1	-1.19296111268034	0.00144734113592638	-0.847016	0.547943
RPL4	0.0194421150820131	0.400550516315167	-0.447681	0.782471
MAD2L1	0.660184778049491	0.126665477390419	1.50846	0.418608
EIF4A3	0.0421990704413461	0.340484443707496	0.976354	0.480696
RBPMS	-0.804634188456254	0.0226834137973857	-0.137899	0.942036
DLEC1	0.25772065909764	0.201552487321891	inf	0.207436
PRPF3	-0.118938665689031	0.124249464600812	-0.320424	0.876643
EMR1	-0.0661523987777693	0.146931857667758	inf	0.199553
C16orf62	-0.333494173357642	0.0492942995634011	-0.408693	0.868916
CHMP2B	-1.75665734293538	0.0171375586071416	-1.0505	0.434537
ACO2	0.132134833674036	0.0970145143356146	1.25281	0.526526
RPS21	0.117556321433326	0.315600989164799	-0.0734513	0.957944
CAMSAP1	0.22381677622211	0.114825310660185	0.397433	0.840747
IRX3	0.189859367461715	0.0798837832512274	0.866918	0.610371
ARID5A	0.36700603147181	0.186417243249975	1.50846	0.517028
UBE2N	-0.462427537801853	0.0129640129478708	0.982403	0.668668
C7orf60	-1.5362036098732	0.00555703064341856	0.075505	0.966881
IGSF8	-0.335479387817232	0.0829149736751183	-1.96958	0.41549
KLF4	0.00891527346593044	0.393559113356614	-1.1238	0.526526
LMO4	-0.71294720739507	0.0170327634111348	-0.298891	0.894648
C16orf71	0.0433625441277142	0.372863747087764	inf	0.418608
HP	0.321391208377299	0.193119778452492	-1.24641	0.651085
HDAC3	-0.306642850906397	0.00400908344639813	0.0787798	0.96666
BTK	0.125199060769805	0.252092595634909	inf	0.191691
RPL13AP3	-0.0775183408085187	0.330094974153777	inf	0.403332
KRCC1	0.281890040421005	0.19823464996723	1.62394	0.526526
SYTL5	0.0865219941305593	0.247391132456978	0.508229	0.922714
PIGL	-0.259994749813388	0.0414030919796922	-0.0764989	0.968131
OLFML2A	-0.440118095976479	0.0699781298161286	0.711998	0.745259
DNAJC30	-0.159896596918344	0.2785814979206	-1.39846	0.859294
HUS1	0.053907220335082	0.174989819373251	0.923502	0.609556
KIF19	0.272270036627353	0.245574069349954	inf	0.132057
GOT2	-0.337292728963859	0.102410834938169	0.0735282	0.961875
UIMC1	-0.0925844846680488	0.118511451369803	-0.179592	0.932635
ZNF667	0.219853661791369	0.261500210283616	-1.88385	0.418608
ZCCHC12	0.241868388683374	0.0993421901228321	inf	0.418608
ATP7B	0.138992285487238	0.296847864699147	-0.0764981	0.949759
POLD2	0.63761360133004	0.00603241702443418	1.68431	0.282445
PPM1H	0.100877468513785	0.34538730852148	-1.579	0.45808
ACOT2	-0.227894973810597	0.0953453381213333	3.24543	0.418608
NFYC	-0.0836988037178491	0.331806907065758	-0.858907	0.526526
KIN	0.129308434559009	0.320408930627801	-0.202029	0.930004
HIST1H4I	0.480461788474781	0.0572598261996201	-inf	0.418608
PLSCR4	-0.828138448088345	0.00749408877062643	-1.77694	0.418608
PPARGC1A	-0.384245778647052	0.0224886699508427	-0.950968	0.526526
KCNK10	0.239295476037039	0.261498373708037	inf	0.286862
ETFA	0.00993320883151798	0.409116048001873	0.809331	0.526526
EXOC1	-0.668214197307699	0.0424381476821705	-0.192908	0.909806
PDAP1	0.387041610157449	0.0700951350133082	0.21989	0.943122
POLRMT	0.0885395011423359	0.308641074393367	-0.36928	0.8489
ZNF146	-0.0508873105073905	0.351200108669254	0.116145	0.954176
MANF	0.20168898937462	0.0143299706691469	0.734024	0.596471
KLHL6	0.335198973993751	0.182655204332243	-0.0764981	0.954424
EIF4E2	-0.0369168679470188	0.191001364948633	0.0430839	0.968694
NENF	0.00668836464540476	0.39420783877741	0.0780789	0.959267
PRSS22	0.0543954808135437	0.393738813495364	inf	0.108285
CYP3A5	0.280727602752456	0.203688671857246	inf	0.00505161
TTC13	0.107191614620015	0.112643644475424	-0.786992	0.630181
CASC4	0.610302216594051	0.0115911017730578	inf	0.526526
GTSF1	-0.037958835539017	0.391869906587733	-inf	0.317685
S100Z	0.455342509345417	0.146880548415733	-0.0764981	0.925709
CUL4B	0.142615312490494	0.332537660738841	0.215268	0.900973
CENPJ	0.548702117845829	0.0364921698154885	-0.739463	0.712413
PITX1	0.240561568107621	0.107018921612172	-0.339477	0.936322
AKIRIN1	0.145311379299171	0.24156862797591	0.466534	0.749914
PDGFRB	0.16696566181459	0.0799145351509345	-0.15896	0.943616
IL17D	0.156415585735254	0.274223693289845	0.923501	0.795761
FHDC1	0.0133133940345416	0.405911482481773	inf	0.418608
RDX	-0.254745442539725	0.174085906427602	-0.557124	0.72061
VRK2	-0.612882880613169	0.0836200066301596	-1.49154	0.526526
CELSR3	0.123396204887381	0.233214140156269	-0.505341	0.788194
JUND	-0.720768024752461	0.00649193711675408	-1.49369	0.249804
ZNF568	0.0230498075436808	0.378675843324596	-0.0764981	0.960667
ITSN1	0.154075350603282	0.126333894031946	-0.73136	0.695075
MT1DP	0.174026400260597	0.332025690259949	inf	0.526526
LIN28B	0.388249310151353	0.0647164011665007	3.83039	0.526526
TNKS2	-0.631439361559242	0.0277435518279455	-0.237779	0.887695
CXorf23	-0.371987898146922	0.147537900150683	-0.591071	0.753007
MRTO4	-0.135410437567618	0.23039641976376	-0.258107	0.942036
TTC3	-0.540843705029777	0.0123339441557508	-0.249233	0.876643
CADPS2	0.1168000819997	0.0638808936136986	-1.53592	0.444984
SEMA3G	0.298366991252956	0.206241453349186	inf	0.412868
IL23A	-0.00854298280492302	0.399506358574804	-inf	0.186482
GRHL1	0.256383578744885	0.103710181278285	inf	0.0853955
SRMS	0.0870423716500697	0.376586342266106	-inf	0.418608
PSTK	-0.261561544963283	0.0633859987627712	0.923502	0.811093
C5	0.304301999326439	0.0158544962731404	2.24543	0.526526
SLC2A10	0.2964212230278	0.21925549288242	-2.66146	0.539348
